document_id,model,output_words
1020190092258B1_9_1_Claude_ADR,unknown,1114
1020190092258B1_9_1_GPT_ADR,unknown,361
1020190092258B1_9_1_Mistral_ADR,unknown,679
1020190092258b1_9_1,qwen,611
1020190092258B1_9_1_gemini_ADR,unknown,430
1020190092258b1_9_1,gemma,822
1020190092258b1_9_1,ministral,1118
1020190092258b1_9_1,qwen,925
1020190094344B1_15_1_Claude_ADR,unknown,1080
1020190094344B1_15_1_GPT_ADR,unknown,379
1020190094344B1_15_1_Mistral_ADR,unknown,714
1020190094344b1_15_1,qwen,622
1020190094344B1_15_1_gemini_ADR,unknown,441
1020190094344b1_15_1,gemma,828
1020190094344b1_15_1,ministral,1095
1020190094344b1_15_1,qwen,873
1020190169096B1_10_4_Claude_ADR,unknown,1022
1020190169096B1_10_4_GPT_ADR,unknown,412
1020190169096B1_10_4_Mistral_ADR,unknown,519
1020190169096b1_10_4,qwen,610
1020190169096B1_10_4_gemini_ADR,unknown,568
1020190169096b1_10_4,gemma,896
1020190169096b1_10_4,ministral,817
1020190169096b1_10_4,qwen,768
1020190169096B1_9_1_Claude_ADR,unknown,784
1020190169096B1_9_1_GPT_ADR,unknown,338
1020190169096B1_9_1_Mistral_ADR,unknown,473
1020190169096b1_9_1,qwen,624
1020190169096B1_9_1_gemini_ADR,unknown,449
1020190169096b1_9_1,gemma,831
1020190169096b1_9_1,ministral,1120
1020190169096b1_9_1,qwen,789
1020200055941B1_18_1_Claude_ADR,unknown,931
1020200055941B1_18_1_GPT_ADR,unknown,367
1020200055941B1_18_1_Mistral_ADR,unknown,477
1020200055941b1_18_1,qwen,635
1020200055941B1_18_1_gemini_ADR,unknown,449
1020200055941b1_18_1,gemma,877
1020200055941b1_18_1,ministral,1012
1020200055941b1_18_1,qwen,877
1020200076428B1_22_1_Claude_ADR,unknown,1015
1020200076428B1_22_1_GPT_ADR,unknown,353
1020200076428B1_22_1_Mistral_ADR,unknown,623
1020200076428b1_22_1,qwen,630
1020200076428B1_22_1_gemini_ADR,unknown,433
1020200076428b1_22_1,gemma,932
1020200076428b1_22_1,ministral,1056
1020200076428b1_22_1,qwen,719
1020200076428B1_22_2_Claude_ADR,unknown,894
1020200076428B1_22_2_GPT_ADR,unknown,348
1020200076428B1_22_2_Mistral_ADR,unknown,546
1020200076428b1_22_2,qwen,560
1020200076428B1_22_2_gemini_ADR,unknown,410
1020200076428b1_22_2,gemma,820
1020200076428b1_22_2,ministral,1628
1020200076428b1_22_2,qwen,573
1020200152094B1_12_3_Claude_ADR,unknown,1120
1020200152094B1_12_3_GPT_ADR,unknown,370
1020200152094B1_12_3_Mistral_ADR,unknown,721
1020200152094b1_12_3,qwen,696
1020200152094B1_12_3_gemini_ADR,unknown,477
1020200152094b1_12_3,gemma,948
1020200152094b1_12_3,ministral,1277
1020200152094b1_12_3,qwen,521
1020200185992B1_20_2_Claude_ADR,unknown,963
1020200185992B1_20_2_GPT_ADR,unknown,384
1020200185992B1_20_2_Mistral_ADR,unknown,627
1020200185992b1_20_2,qwen,651
1020200185992B1_20_2_gemini_ADR,unknown,499
1020200185992b1_20_2,gemma,809
1020200185992b1_20_2,ministral,1178
1020200185992b1_20_2,qwen,762
1020210096845B1_13_1_Claude_ADR,unknown,883
1020210096845B1_13_1_GPT_ADR,unknown,356
1020210096845B1_13_1_Mistral_ADR,unknown,416
1020210096845b1_13_1,qwen,593
1020210096845B1_13_1_gemini_ADR,unknown,453
1020210096845b1_13_1,gemma,719
1020210096845b1_13_1,ministral,1007
1020210096845b1_13_1,qwen,651
1020210096845B1_13_2_Claude_ADR,unknown,1084
1020210096845B1_13_2_GPT_ADR,unknown,412
1020210096845B1_13_2_Mistral_ADR,unknown,468
1020210096845b1_13_2,qwen,636
1020210096845B1_13_2_gemini_ADR,unknown,477
1020210096845b1_13_2,gemma,816
1020210096845b1_13_2,ministral,953
1020210096845b1_13_2,qwen,680
1020210117060B1_1_1_Claude_ADR,unknown,1084
1020210117060B1_1_1_GPT_ADR,unknown,368
1020210117060B1_1_1_Mistral_ADR,unknown,640
1020210117060b1_1_1,qwen,612
1020210117060B1_1_1_gemini_ADR,unknown,489
1020210117060b1_1_1,gemma,760
1020210117060b1_1_1,ministral,731
1020210117060b1_1_1,qwen,550
1020210157846B1_8_1_Claude_ADR,unknown,996
1020210157846B1_8_1_GPT_ADR,unknown,379
1020210157846B1_8_1_Mistral_ADR,unknown,892
1020210157846b1_8_1,qwen,689
1020210157846B1_8_1_gemini_ADR,unknown,433
1020210157846b1_8_1,gemma,831
1020210157846b1_8_1,ministral,923
1020210157846b1_8_1,qwen,752
1020220027544B1_1_1_Claude_ADR,unknown,1049
1020220027544B1_1_1_GPT_ADR,unknown,377
1020220027544B1_1_1_Mistral_ADR,unknown,502
1020220027544b1_1_1,qwen,688
1020220027544B1_1_1_gemini_ADR,unknown,461
1020220027544b1_1_1,gemma,773
1020220027544b1_1_1,ministral,993
1020220027544b1_1_1,qwen,701
1020220040069B1_17_1_Claude_ADR,unknown,694
1020220040069B1_17_1_GPT_ADR,unknown,375
1020220040069B1_17_1_Mistral_ADR,unknown,562
1020220040069b1_17_1,qwen,636
1020220040069B1_17_1_gemini_ADR,unknown,458
1020220040069b1_17_1,gemma,787
1020220040069b1_17_1,ministral,883
1020220040069b1_17_1,qwen,878
1020220144926B1_15_1_Claude_ADR,unknown,812
1020220144926B1_15_1_GPT_ADR,unknown,826
1020220144926B1_15_1_Mistral_ADR,unknown,634
1020220144926b1_15_1,qwen,618
1020220144926B1_15_1_gemini_ADR,unknown,421
